year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb
1850,0.0,9.140486284531235e-11,7.140205926514653e-10,0.0
1851,4.3435818275483486e-10,1.190044940369006e-09,2.060444553864116e-09,0.0
1852,4.1831601608569946e-10,9.917041169741716e-10,1.9987914471701154e-09,0.0
1853,3.5855658521631387e-10,8.500321002635758e-10,1.713249811860099e-09,0.0
1854,3.5855658521631387e-10,8.500321002635758e-10,2.098673282776734e-09,0.0
1855,4.5873031167304694e-10,8.47887613294621e-10,2.1487601460051006e-09,0.0
1856,8.377685093271684e-10,8.47887613294621e-10,2.5277983357290576e-09,4.737977470676518e-11
1857,8.377685093271684e-10,8.47887613294621e-10,2.1197865684996486e-09,4.737977470676518e-11
1858,1.2967949293761295e-09,7.644203762044048e-10,1.9352319707050772e-09,2.1222597488902905e-10
1859,1.2484941889846978e-09,7.644203762044048e-10,1.693728268747918e-09,2.1222597488902905e-10
1860,1.4230843725648867e-09,7.644203762044048e-10,2.2756955486702424e-09,2.1222597488902905e-10
1861,1.4230843725648867e-09,7.644203762044048e-10,1.8902720777536075e-09,2.1222597488902905e-10
1862,2.0668932478238945e-09,9.800415796361911e-10,2.21217651340057e-09,2.1222597488902905e-10
1863,1.9610091447511533e-09,1.025567262066421e-09,1.8331383236766134e-09,2.1037188261249388e-10
1864,1.9610091447511533e-09,1.025567262066421e-09,1.8331383236766134e-09,2.1037188261249388e-10
1865,1.571159975931126e-09,3.1123374909038306e-10,9.539585787976534e-10,4.552568243023001e-11
1866,8.738599633589013e-09,2.1241743721121614e-09,1.166295648946658e-08,5.514625859134473e-10
1867,8.564009450008823e-09,2.1241743721121614e-09,1.1080989209544255e-08,5.926505397546578e-10
1868,8.692125681917875e-09,2.252290604021212e-09,1.163615954781681e-08,5.926505397546578e-10
1869,7.948143080202134e-09,1.986582537361059e-09,1.1264168248941479e-08,5.926505397546578e-10
1870,7.674988985620753e-09,1.981298125564024e-09,1.1264168248941479e-08,5.471248573244278e-10
1871,8.602480129032182e-09,2.1745254406648124e-09,1.1264168248941479e-08,6.244157849507763e-10
1872,8.223047032978366e-09,2.1745254406648124e-09,1.1264168248941479e-08,6.244157849507763e-10
1873,1.0556073753204792e-09,3.98742475545991e-10,5.551703382725545e-10,1.1847888146755889e-10
1874,3.326630459194695e-09,9.286478649553738e-10,1.6906818762445803e-09,1.9084208023402637e-10
1875,3.618624015512749e-09,1.2588332202031642e-09,2.0521147122857084e-09,1.9084208023402637e-10
1876,4.458067213005837e-09,1.3683258137664467e-09,2.307597426634952e-09,1.9084208023402637e-10
1877,4.458067213005837e-09,1.3280845431332518e-09,2.4073890896631714e-09,3.23897630938319e-10
1878,4.670383429201357e-09,2.5855211344920956e-09,3.6508153087945667e-09,3.5022555490625354e-10
1879,4.8696997386902095e-09,2.6187405200677513e-09,3.6508153087945667e-09,3.5022555490625354e-10
1880,1.0439975043193987e-08,5.554482582215136e-09,1.2694689529738464e-08,5.066939645637092e-10
1881,8.198985185225995e-09,5.024577192805753e-09,1.158921121767266e-08,3.9314281195603126e-10
1882,7.994778200570709e-09,4.6279621186893846e-09,1.0703451299879215e-08,4.239860684762675e-10
1883,7.583185789623265e-09,4.549030295310428e-09,1.0875819356215288e-08,4.239860684762675e-10
1884,7.757302486873944e-09,4.607069194393989e-09,1.0776027693187068e-08,2.9093051777197484e-10
1885,7.1971585278797684e-09,3.156405287934356e-09,9.61541053128607e-09,2.425177043312894e-10
1886,8.912807706159701e-09,3.1494183055131538e-09,1.0008896592480658e-08,2.94982510640196e-10
1887,4.13144657374076e-09,1.7651858546281167e-10,1.0702109278147377e-09,2.4370265726071846e-10
1888,4.999999600859998e-09,5.359530854834712e-10,1.2455688544069486e-09,2.693765508273874e-10
1889,4.908526946012515e-09,5.738106914224669e-10,1.2893836871213133e-09,2.8830535379688524e-10
1890,4.769389002782073e-09,5.913687277964946e-10,1.174305157082754e-09,2.8830535379688524e-10
1891,4.887438041580238e-09,5.820241154110204e-10,1.6125537532258556e-09,2.8830535379688524e-10
1892,4.841772193493148e-09,6.247439192958686e-10,1.93558282100627e-09,2.330993156432878e-10
1893,3.0583306522201175e-09,6.861941471385842e-10,1.93666859533386e-09,1.8063450933438118e-10
1894,2.458336732593023e-09,7.701587046675991e-10,1.9994091541139116e-09,9.643709243865674e-11
1895,1.680477891761813e-09,4.710879127266056e-10,2.0354728339341423e-09,7.07631988719878e-11
1896,1.9982781243202805e-09,4.821013945198262e-10,2.0897986079721723e-09,2.099113938225372e-11
1897,1.053338080845924e-08,1.56343098388158e-09,8.218411697212348e-09,1.6217219432425522e-10
1898,1.0583818989868506e-08,2.0800331734793787e-09,8.39685016359607e-09,1.7930239039541465e-10
1899,1.056867810925574e-08,2.1756751539259156e-09,8.198554708143442e-09,1.7930239039541465e-10
1900,1.1106517838358315e-08,2.2767874074165154e-09,7.941288250006602e-09,1.9646556207294656e-10
1901,1.0950153363418835e-08,2.257934404924024e-09,7.805914912466834e-09,1.7547442269069283e-10
1902,1.1189136434846297e-08,2.2956735560139154e-09,8.136726758637255e-09,1.7547442269069283e-10
1903,1.4453497495078451e-08,3.894686691208182e-09,1.764488072518246e-08,2.3599020158661585e-10
1904,5.7651528560996395e-09,2.8404998977937805e-09,1.1564751091287995e-08,9.480914664461437e-11
1905,5.5527921477164075e-09,2.347560763837908e-09,1.1005949899461115e-08,7.767895057345494e-11
1906,5.50536937367539e-09,2.5333097920997106e-09,1.1225644199911296e-08,1.2187587843699125e-10
1907,7.674159836371493e-09,3.37404135583189e-09,1.1380501737418797e-08,1.464502646137638e-10
1908,8.110754040613342e-09,3.5695686743743492e-09,1.1439169563968018e-08,1.464502646137638e-10
1909,7.829532115897842e-09,3.5368729472962097e-09,1.1063124283735728e-08,1.464502646137638e-10
1910,7.81076318207008e-09,6.182071264626555e-09,3.466058382766463e-09,8.593448571784076e-11
1911,7.688560833631262e-09,6.10680966212085e-09,3.144608306883599e-09,8.593448571784076e-11
1912,8.06478739147552e-09,6.239777901714419e-09,3.552127059753512e-09,1.269996013115409e-10
1913,7.987070869765386e-09,5.929243550504916e-09,3.491454558999875e-09,1.0995559621537358e-10
1914,5.315559465804816e-09,4.983038467964995e-09,3.615898480437339e-09,8.210493297149718e-11
1915,7.239286738521969e-09,5.933983037085889e-09,5.342050058262541e-09,9.724972612915447e-11
1916,7.790212720935687e-09,6.054539293531836e-09,5.77524319736059e-09,2.1168873201978958e-10
1917,4.235111755338369e-09,1.6997702402345357e-09,4.385506831691302e-09,2.2496088622877711e-10
1918,4.454080674723811e-09,1.6997702402345357e-09,4.7828540731106475e-09,2.2496088622877711e-10
1919,4.44705164062301e-09,1.6024318469365362e-09,4.803391805339809e-09,1.8389577063507697e-10
1920,4.317627994219832e-09,1.7430267279120289e-09,5.229708525360849e-09,1.5674284786770798e-10
1921,5.084901593042725e-09,1.7931219891845603e-09,4.946518312018025e-09,1.4285595325727992e-10
1922,1.681377471081578e-08,8.376011534162929e-09,5.925983445025691e-09,4.486600466147017e-10
1923,1.770034576052483e-08,8.446599564623395e-09,7.955374416763432e-09,3.575438962756726e-10
1924,2.2066807228715568e-08,1.0000441110134619e-08,9.369096992276456e-09,3.674634069250615e-10
1925,2.6072191360225283e-08,1.0721273640704584e-08,1.7276126888193007e-08,4.766804550288789e-10
1926,2.7966514235374824e-08,1.0917947272450133e-08,1.7791212967141086e-08,5.202034299354809e-10
1927,3.068168194508836e-08,1.2491000024000039e-08,1.9567577530521518e-08,5.849743328623092e-10
1928,3.4141776528955655e-08,1.3223398340597318e-08,2.317881059310523e-08,6.499104548180717e-10
1929,2.4294591810525287e-08,6.0773145087773224e-09,2.3311728690268907e-08,4.010048126890098e-10
1930,2.7640524960118436e-08,7.47588429257056e-09,2.7428575696423052e-08,3.776819571374038e-10
1931,3.1390345779052405e-08,9.11198984717857e-09,3.6952997067058694e-08,4.043332157183903e-10
1932,4.029483622166755e-08,1.0480416122250957e-08,4.157120505768727e-08,1.1263266490115141e-09
1933,4.3909165763673334e-08,1.1672276718578874e-08,6.042109258157831e-08,1.566972347512495e-09
1934,4.673439916011038e-08,1.047857238875175e-08,8.32900683898709e-08,1.5235422348317383e-09
1935,4.559201068660939e-08,1.0077274933168693e-08,1.043126470994566e-07,1.5430638394026935e-09
1936,5.078697035540028e-08,1.3984603088641151e-08,1.2674768980401397e-07,1.6102783273463928e-09
1937,5.5324826418536236e-08,1.616612466710204e-08,1.669922268085092e-07,1.6955370559948844e-09
1938,5.6435782000033696e-08,1.4918420822098077e-08,1.836902476158388e-07,1.976288731870517e-09
1939,5.592881180405129e-08,1.628371386738373e-08,2.1012394636952897e-07,1.3343687742052778e-09
1940,5.761997391916042e-08,1.5964148697422686e-08,2.1498911140227506e-07,1.4141583102946142e-09
1941,6.107185950605348e-08,1.7108875800213904e-08,2.2185714262537968e-07,1.5239305611076353e-09
1942,1.0180295497470252e-07,1.8895628914724786e-08,2.621871822507314e-07,3.098303788132536e-09
1943,2.4667671650166086e-07,4.0454837317373456e-08,3.6588723289250016e-07,5.590940712380771e-09
1944,3.682904300099971e-07,6.327938556879456e-08,4.602417577207315e-07,7.021958239079268e-09
1945,4.5818543471996626e-07,9.464813059887967e-08,5.710513830057908e-07,7.458568998530701e-09
1946,5.686527714424525e-07,1.402520580586129e-07,6.869337137211622e-07,8.905609945914731e-09
1947,6.730543194840723e-07,1.9069405232266918e-07,8.121628912251465e-07,9.868653281468783e-09
1948,7.82552242688845e-07,2.379347949499344e-07,9.408342366766321e-07,1.1265242823894311e-08
1949,8.707832694909711e-07,3.045472101487994e-07,1.025962957003555e-06,1.1401168666896096e-08
1950,8.618789664183168e-07,3.561777268996329e-07,1.0481430692266258e-06,1.1246063101599812e-08
1951,9.92117983449654e-07,4.4055121268498407e-07,1.0797407397384568e-06,1.783393342427323e-08
1952,1.3330841543027612e-06,5.964176691567298e-07,1.155379727890704e-06,3.151560798343127e-08
1953,1.8006971730853496e-06,7.716592528136549e-07,1.2402267789265612e-06,4.7524374181024635e-08
1954,2.324301350244338e-06,9.67401530184629e-07,1.3191468981282078e-06,7.767495931672506e-08
1955,2.969636352949984e-06,1.207638456156092e-06,1.4362706330928177e-06,1.1002776351429609e-07
1956,3.5170475771094185e-06,1.4392071015580297e-06,1.558399538684593e-06,1.3778414666551102e-07
1957,3.965130963885193e-06,1.6905174390505602e-06,1.6892474121732448e-06,1.664260645505606e-07
1958,4.213015994228693e-06,1.8995052763719807e-06,1.7956847498469741e-06,1.9458698447787676e-07
1959,4.305671128333546e-06,2.0530070687284156e-06,1.9176207207546473e-06,2.1937913720547287e-07
1960,4.158810907841014e-06,2.1530271584627566e-06,1.967721491017268e-06,2.3600923999238838e-07
1961,3.956068984020281e-06,2.2095323259918587e-06,2.024286254303271e-06,2.3710365832612418e-07
1962,3.6700157315700773e-06,2.246155800784371e-06,2.0748566730130084e-06,2.3177798515382012e-07
1963,3.4170847637174773e-06,2.2581234335104583e-06,2.114402178676755e-06,2.3083334605671677e-07
1964,3.2609581645764204e-06,2.1989448687317496e-06,2.1491879838971987e-06,2.2146885141666977e-07
1965,3.207049711509821e-06,2.1688972588711815e-06,2.1598538333072222e-06,2.0698042353067031e-07
1966,3.0816449298397075e-06,2.077426251340902e-06,2.1717384624610403e-06,1.8674178032489814e-07
1967,3.0404251966891545e-06,2.0214091490190967e-06,2.1476181940118167e-06,1.7112059829444653e-07
1968,2.995928085169908e-06,1.9598986915931552e-06,2.141693309048216e-06,1.571677711468108e-07
1969,2.9597743024721368e-06,1.8675810074293101e-06,2.09240301022159e-06,1.4909008504743986e-07
1970,3.0004163806194943e-06,1.820546760963485e-06,2.056993380961103e-06,1.3699174214850833e-07
1971,3.2855897517590297e-06,1.888988762743793e-06,2.021698035394235e-06,1.3855225846784845e-07
1972,3.6581441987339403e-06,1.9544523723880047e-06,1.9932443596612108e-06,1.4005592026609749e-07
1973,4.128315926063157e-06,2.099282061708761e-06,1.9466731556251815e-06,1.427950322668054e-07
1974,4.696933773727453e-06,2.3106390309684296e-06,1.9340751902875904e-06,1.4720129368602943e-07
1975,5.139595955938603e-06,2.5480031189723765e-06,1.873417331361387e-06,1.4858507563220158e-07
1976,5.589850695335892e-06,2.894260886827331e-06,1.8288192801410981e-06,1.5553525361295636e-07
1977,6.020258386537794e-06,3.079805879784609e-06,1.8901946481670556e-06,1.6478360411108032e-07
1978,6.069814438498204e-06,3.154560215331717e-06,1.9554537412805724e-06,1.702029417881081e-07
1979,5.993561042519754e-06,3.2285862567554043e-06,2.1398008952035393e-06,1.774037644722678e-07
1980,5.837098334333339e-06,3.288695397023795e-06,2.2327164554017794e-06,1.839673847068925e-07
1981,5.479129561487233e-06,3.171419281094196e-06,2.4532497278073606e-06,1.9228148598734608e-07
1982,5.245597802984646e-06,3.064018975302523e-06,2.6386245082221645e-06,2.0577134290140314e-07
1983,4.957719600692404e-06,2.9308993916288273e-06,2.8829288112319773e-06,2.0925494497487612e-07
1984,4.618472157095052e-06,2.821988830297479e-06,2.9135689903877652e-06,2.1752785035149863e-07
1985,4.384690788989637e-06,2.694305847634431e-06,2.896757192973252e-06,2.1801696251496795e-07
1986,4.25212166987876e-06,2.5051694620970007e-06,2.779972948222361e-06,2.1312055931144158e-07
1987,4.033463964349591e-06,2.26454656626629e-06,2.720940623289282e-06,2.1009300177343704e-07
1988,3.923644760967753e-06,2.113944020720737e-06,2.511731552650482e-06,2.0564299721811554e-07
1989,3.772148171979747e-06,1.9595976792987e-06,2.4110997784987376e-06,2.0196614430074383e-07
1990,3.5728873066480963e-06,1.6923444268814236e-06,2.1632956769427177e-06,1.9759388025786254e-07
1991,3.5100349882506114e-06,1.5437353688696476e-06,2.036620460086981e-06,1.9396923573682707e-07
1992,3.374527478529542e-06,1.4620037670657178e-06,1.976588796383437e-06,1.933011902924672e-07
1993,3.0861750630606366e-06,1.3807934858992406e-06,1.8543026187549977e-06,1.9288520227066031e-07
1994,2.9010522959132298e-06,1.2740704303634437e-06,1.670147119016617e-06,1.8995486916750792e-07
1995,2.7294616131712246e-06,1.165262229818609e-06,1.5673767137514005e-06,1.9093819511198766e-07
1996,2.586487544777226e-06,1.0453656469979118e-06,1.4143708051100082e-06,1.876862720795458e-07
1997,2.5015376716096076e-06,9.59480746536607e-07,1.3125096633664107e-06,1.8800039973993726e-07
1998,2.3506102902867302e-06,8.432739695101482e-07,1.2114222232335285e-06,1.8471905330727116e-07
1999,2.3358262072495757e-06,7.262239860900925e-07,1.0626273452274406e-06,1.86530756586732e-07
2000,2.2317117038182588e-06,6.455989935031223e-07,9.753866251825473e-07,1.9549066210267085e-07
2001,2.1446160712709376e-06,6.14657671617534e-07,9.290862640501781e-07,2.1015327506772916e-07
2002,2.07700049971647e-06,5.901551499551009e-07,8.627471794753205e-07,2.1850921583244087e-07
2003,2.0303487972788455e-06,5.737998956613564e-07,8.034094765336469e-07,2.3233807808617106e-07
2004,1.9855568617848415e-06,5.625505930925304e-07,7.604644160100602e-07,2.489427657189783e-07
2005,1.8972664389390762e-06,5.564995337563922e-07,6.859975614860657e-07,2.6303289300612575e-07
2006,1.7351348568744081e-06,5.425805363097018e-07,6.293044651733177e-07,2.7692790034926163e-07
2007,1.7241263540666651e-06,5.326396254850302e-07,5.711328556122299e-07,2.8029389664047907e-07
2008,1.670759456372041e-06,5.204760526376718e-07,5.244888157435972e-07,2.7955105797688215e-07
2009,1.5988447345754205e-06,5.147863157021045e-07,5.230023585005888e-07,2.7988310201200655e-07
2010,1.5263823784599545e-06,5.023580470656494e-07,5.109172537741204e-07,2.747026898334123e-07
2011,1.399892788356283e-06,4.796999334580728e-07,4.6225988919219265e-07,2.685978409768173e-07
2012,1.3122581621973138e-06,4.631896030219248e-07,4.31762291855772e-07,2.653305527590609e-07
2013,1.247977882050983e-06,4.522856172124128e-07,4.100133383604693e-07,2.569226113524614e-07
2014,1.1849174664949454e-06,4.419050336133625e-07,3.819322523960064e-07,2.521811889866221e-07
2015,1.1476554972387831e-06,4.2992898682417795e-07,3.593050268424492e-07,2.453494677026999e-07
2016,1.1041056164578272e-06,4.1816867099190145e-07,3.041369297042605e-07,2.424914938054761e-07
2017,1.0734429574850897e-06,4.070212976288919e-07,2.6247111643377486e-07,2.4159217011191875e-07
2018,1.0798581071114198e-06,4.050495074459093e-07,2.6201728866581673e-07,2.376169221940394e-07
2019,1.0544373723053724e-06,4.10721766819222e-07,2.6490799565070944e-07,2.3061519434375288e-07
