year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb,quantum mechanics,theory of relativity
1900,1.8120619636741164e-08,3.538327696811505e-09,1.2955110768875233e-08,3.0708023970871245e-10,3.902996127680414e-09,4.124590145121454e-09
1901,1.4542073797918497e-08,2.921818334500337e-09,1.0409666703625753e-08,2.4566419176696993e-10,3.4186544678460604e-09,4.571214276549718e-09
1902,1.2538057062490745e-08,2.549301947781431e-09,9.342366711258728e-09,2.047201598058083e-10,3.5165231814423175e-09,4.653041454453592e-09
1903,1.4453497495078451e-08,3.894686691208182e-09,1.764488072518246e-08,2.3599020158661585e-10,1.290849251894028e-08,9.551082847233542e-09
1904,5.7651528560996395e-09,2.8404998977937805e-09,1.1564751091287995e-08,9.480914664461437e-11,1.1728176973242149e-08,9.142695487589821e-09
1905,5.5527921477164075e-09,2.347560763837908e-09,1.1005949899461115e-08,7.767895057345494e-11,1.1022877113060174e-08,9.661536558886702e-09
1906,5.50536937367539e-09,2.5333097920997106e-09,1.1225644199911296e-08,1.2187587843699125e-10,1.1194538996181106e-08,1.0438627712217041e-08
1907,7.674159836371493e-09,3.37404135583189e-09,1.1380501737418797e-08,1.464502646137638e-10,1.1678226534615556e-08,1.5826924715245386e-08
1908,8.110754040613342e-09,3.5695686743743492e-09,1.1439169563968018e-08,1.464502646137638e-10,1.1662093143365622e-08,2.0655502554399263e-08
1909,7.829532115897842e-09,3.5368729472962097e-09,1.1063124283735728e-08,1.464502646137638e-10,1.1482269259407588e-08,3.255573801811248e-08
1910,7.81076318207008e-09,6.182071264626555e-09,3.466058382766463e-09,8.593448571784076e-11,1.9802609879263475e-09,4.9582156491645435e-08
1911,7.688560833631262e-09,6.10680966212085e-09,3.144608306883599e-09,8.593448571784076e-11,1.9032156049560355e-09,6.553708867659428e-08
1912,8.06478739147552e-09,6.239777901714419e-09,3.552127059753512e-09,1.269996013115409e-10,2.4124103786033705e-09,7.778453747775417e-08
1913,7.987070869765386e-09,5.929243550504916e-09,3.491454558999875e-09,1.0995559621537358e-10,2.5184166577548896e-09,8.499980116387957e-08
1914,5.315559465804816e-09,4.983038467964995e-09,3.615898480437339e-09,8.210493297149718e-11,2.6841368611878784e-09,1.0182485956593862e-07
1915,7.239286738521969e-09,5.933983037085889e-09,5.342050058262541e-09,9.724972612915447e-11,4.10915056247336e-09,1.1374814184807378e-07
1916,7.790212720935687e-09,6.054539293531836e-09,5.77524319736059e-09,2.1168873201978958e-10,3.845451650560541e-09,1.3109299920797758e-07
1917,4.235111755338369e-09,1.6997702402345357e-09,4.385506831691302e-09,2.2496088622877711e-10,3.745117521658514e-09,2.2053694273747674e-07
1918,4.454080674723811e-09,1.6997702402345357e-09,4.7828540731106475e-09,2.2496088622877711e-10,4.701781885456985e-09,3.1793447569689844e-07
1919,4.44705164062301e-09,1.6024318469365362e-09,4.803391805339809e-09,1.8389577063507697e-10,5.042861643148441e-09,4.265815903352145e-07
1920,4.317627994219832e-09,1.7430267279120289e-09,5.229708525360849e-09,1.5674284786770798e-10,7.109246603116087e-09,5.467636424886077e-07
1921,5.084901593042725e-09,1.7931219891845603e-09,4.946518312018025e-09,1.4285595325727992e-10,7.963625230486152e-09,6.283223036783271e-07
1922,1.681377471081578e-08,8.376011534162929e-09,5.925983445025691e-09,4.486600466147017e-10,1.0332068364561827e-08,6.911343157461098e-07
1923,1.770034576052483e-08,8.446599564623395e-09,7.955374416763432e-09,3.575438962756726e-10,3.380605422086719e-08,7.335987180263308e-07
1924,2.2066807228715568e-08,1.0000441110134619e-08,9.369096992276456e-09,3.674634069250615e-10,5.791169810959967e-08,6.940242691655385e-07
1925,2.6072191360225283e-08,1.0721273640704584e-08,1.7276126888193007e-08,4.766804550288789e-10,1.0440749433071606e-07,6.521619796576568e-07
1926,2.7966514235374824e-08,1.0917947272450133e-08,1.7791212967141086e-08,5.202034299354809e-10,1.4041443141543652e-07,6.019803555317489e-07
1927,3.068168194508836e-08,1.2491000024000039e-08,1.9567577530521518e-08,5.849743328623092e-10,1.7802102569852707e-07,5.458681614024994e-07
1928,3.4141776528955655e-08,1.3223398340597318e-08,2.317881059310523e-08,6.499104548180717e-10,2.2121941753042558e-07,5.472419275192359e-07
1929,2.4294591810525287e-08,6.0773145087773224e-09,2.3311728690268907e-08,4.010048126890098e-10,2.86848267868781e-07,5.408824809625758e-07
1930,2.7640524960118436e-08,7.47588429257056e-09,2.7428575696423052e-08,3.776819571374038e-10,3.125371188517079e-07,5.466468898493051e-07
1931,3.1390345779052405e-08,9.11198984717857e-09,3.6952997067058694e-08,4.043332157183903e-10,3.536330904932835e-07,5.642986063822012e-07
1932,4.029483622166755e-08,1.0480416122250957e-08,4.157120505768727e-08,1.1263266490115141e-09,3.7358527224132636e-07,5.526778982404121e-07
1933,4.3909165763673334e-08,1.1672276718578874e-08,6.042109258157831e-08,1.566972347512495e-09,3.918967517486343e-07,5.446657759097409e-07
1934,4.673439916011038e-08,1.047857238875175e-08,8.32900683898709e-08,1.5235422348317383e-09,4.093609205898677e-07,5.323025591102188e-07
1935,4.559201068660939e-08,1.0077274933168693e-08,1.043126470994566e-07,1.5430638394026935e-09,4.484025288853389e-07,4.896095959137727e-07
1936,5.078697035540028e-08,1.3984603088641151e-08,1.2674768980401397e-07,1.6102783273463928e-09,4.247000061471543e-07,4.7355642366194874e-07
1937,5.5324826418536236e-08,1.616612466710204e-08,1.669922268085092e-07,1.6955370559948844e-09,4.4301859634744894e-07,4.4354321904194194e-07
1938,5.6435782000033696e-08,1.4918420822098077e-08,1.836902476158388e-07,1.976288731870517e-09,4.2159738532023177e-07,3.972201086150611e-07
1939,5.592881180405129e-08,1.628371386738373e-08,2.1012394636952897e-07,1.3343687742052778e-09,4.0753574001176467e-07,4.0380143565396255e-07
1940,5.761997391916042e-08,1.5964148697422686e-08,2.1498911140227506e-07,1.4141583102946142e-09,3.9019484741688514e-07,3.8775075639208017e-07
1941,6.107185950605348e-08,1.7108875800213904e-08,2.2185714262537968e-07,1.5239305611076353e-09,3.9937708613229414e-07,3.642551197177316e-07
1942,1.0180295497470252e-07,1.8895628914724786e-08,2.621871822507314e-07,3.098303788132536e-09,3.5827178988613794e-07,3.4653568376746033e-07
1943,2.4667671650166086e-07,4.0454837317373456e-08,3.6588723289250016e-07,5.590940712380771e-09,3.599958614383273e-07,3.36874891918423e-07
1944,3.682904300099971e-07,6.327938556879456e-08,4.602417577207315e-07,7.021958239079268e-09,3.6213440056189127e-07,3.5916948729460986e-07
1945,4.5818543471996626e-07,9.464813059887967e-08,5.710513830057908e-07,7.458568998530701e-09,4.0725409425742705e-07,3.717092386905969e-07
1946,5.686527714424525e-07,1.402520580586129e-07,6.869337137211622e-07,8.905609945914731e-09,4.484117085899543e-07,3.808241480258394e-07
1947,6.730543194840723e-07,1.9069405232266918e-07,8.121628912251465e-07,9.868653281468783e-09,5.323682679454173e-07,4.218478307623944e-07
1948,7.82552242688845e-07,2.379347949499344e-07,9.408342366766321e-07,1.1265242823894311e-08,5.7100183318123e-07,4.53143017585335e-07
1949,8.707832694909711e-07,3.045472101487994e-07,1.025962957003555e-06,1.1401168666896096e-08,6.110020065770122e-07,5.01924374380585e-07
1950,8.618789664183168e-07,3.561777268996329e-07,1.0481430692266258e-06,1.1246063101599812e-08,6.721805592135867e-07,5.255370736685043e-07
1951,9.92117983449654e-07,4.4055121268498407e-07,1.0797407397384568e-06,1.783393342427323e-08,6.956216651587964e-07,5.258225559095259e-07
1952,1.3330841543027612e-06,5.964176691567298e-07,1.155379727890704e-06,3.151560798343127e-08,7.232880620782518e-07,5.430846085856851e-07
1953,1.8006971730853496e-06,7.716592528136549e-07,1.2402267789265612e-06,4.7524374181024635e-08,7.655647107997408e-07,5.444376382739742e-07
1954,2.324301350244338e-06,9.67401530184629e-07,1.3191468981282078e-06,7.767495931672506e-08,7.718202125671172e-07,5.395536446200261e-07
1955,2.969636352949984e-06,1.207638456156092e-06,1.4362706330928177e-06,1.1002776351429609e-07,8.361780740833475e-07,5.65922438879239e-07
1956,3.5170475771094185e-06,1.4392071015580297e-06,1.558399538684593e-06,1.3778414666551102e-07,9.083261457273498e-07,5.856177219027663e-07
1957,3.965130963885193e-06,1.6905174390505602e-06,1.6892474121732448e-06,1.664260645505606e-07,9.526045440720412e-07,6.232660634264421e-07
1958,4.213015994228693e-06,1.8995052763719807e-06,1.7956847498469741e-06,1.9458698447787676e-07,1.0485410772024091e-06,6.572261251732873e-07
1959,4.305671128333546e-06,2.0530070687284156e-06,1.9176207207546473e-06,2.1937913720547287e-07,1.1456864889173145e-06,6.877558628952992e-07
1960,4.158810907841014e-06,2.1530271584627566e-06,1.967721491017268e-06,2.3600923999238838e-07,1.2079600398046912e-06,7.004431514483806e-07
1961,3.956068984020281e-06,2.2095323259918587e-06,2.024286254303271e-06,2.3710365832612418e-07,1.2937045344837576e-06,7.124294448030659e-07
1962,3.6700157315700773e-06,2.246155800784371e-06,2.0748566730130084e-06,2.3177798515382012e-07,1.3837537937076507e-06,7.146051150502025e-07
1963,3.4170847637174773e-06,2.2581234335104583e-06,2.114402178676755e-06,2.3083334605671677e-07,1.4887176525186466e-06,6.975036738664033e-07
1964,3.2609581645764204e-06,2.1989448687317496e-06,2.1491879838971987e-06,2.2146885141666977e-07,1.539174347340934e-06,6.624434352175966e-07
1965,3.207049711509821e-06,2.1688972588711815e-06,2.1598538333072222e-06,2.0698042353067031e-07,1.5518929501467937e-06,6.429348213186716e-07
1966,3.0816449298397075e-06,2.077426251340902e-06,2.1717384624610403e-06,1.8674178032489814e-07,1.55074929507139e-06,6.291296372116863e-07
1967,3.0404251966891545e-06,2.0214091490190967e-06,2.1476181940118167e-06,1.7112059829444653e-07,1.5472493716726734e-06,6.236546988677308e-07
1968,2.995928085169908e-06,1.9598986915931552e-06,2.141693309048216e-06,1.571677711468108e-07,1.5347254245869278e-06,6.062990879193311e-07
1969,2.9597743024721368e-06,1.8675810074293101e-06,2.09240301022159e-06,1.4909008504743986e-07,1.4507070221928385e-06,5.833699489191499e-07
1970,3.0004163806194943e-06,1.820546760963485e-06,2.056993380961103e-06,1.3699174214850833e-07,1.4002373279912002e-06,5.67229721034782e-07
1971,3.2855897517590297e-06,1.888988762743793e-06,2.021698035394235e-06,1.3855225846784845e-07,1.4254004742245537e-06,5.678714760014104e-07
1972,3.6581441987339403e-06,1.9544523723880047e-06,1.9932443596612108e-06,1.4005592026609749e-07,1.4273574875695822e-06,5.469241198343054e-07
1973,4.128315926063157e-06,2.099282061708761e-06,1.9466731556251815e-06,1.427950322668054e-07,1.4092357315372996e-06,5.163949049956175e-07
1974,4.696933773727453e-06,2.3106390309684296e-06,1.9340751902875904e-06,1.4720129368602943e-07,1.402782932607189e-06,4.961715488947605e-07
1975,5.139595955938603e-06,2.5480031189723765e-06,1.873417331361387e-06,1.4858507563220158e-07,1.3725361459445854e-06,4.750555272651066e-07
1976,5.589850695335892e-06,2.894260886827331e-06,1.8288192801410981e-06,1.5553525361295636e-07,1.4177379204584537e-06,4.80787644363545e-07
1977,6.020258386537794e-06,3.079805879784609e-06,1.8901946481670556e-06,1.6478360411108032e-07,1.411987291025493e-06,4.7428883931388555e-07
1978,6.069814438498204e-06,3.154560215331717e-06,1.9554537412805724e-06,1.702029417881081e-07,1.3921558747702939e-06,4.705203928066583e-07
1979,5.993561042519754e-06,3.2285862567554043e-06,2.1398008952035393e-06,1.774037644722678e-07,1.4106968114292937e-06,4.7330588930678227e-07
1980,5.837098334333339e-06,3.288695397023795e-06,2.2327164554017794e-06,1.839673847068925e-07,1.4400361979686034e-06,4.752208046759116e-07
1981,5.479129561487233e-06,3.171419281094196e-06,2.4532497278073606e-06,1.9228148598734608e-07,1.4685206564430634e-06,4.7429975358337373e-07
1982,5.245597802984646e-06,3.064018975302523e-06,2.6386245082221645e-06,2.0577134290140314e-07,1.543121015856741e-06,4.7177113474524847e-07
1983,4.957719600692404e-06,2.9308993916288273e-06,2.8829288112319773e-06,2.0925494497487612e-07,1.5791265965958703e-06,4.5537220243791717e-07
1984,4.618472157095052e-06,2.821988830297479e-06,2.9135689903877652e-06,2.1752785035149863e-07,1.6610990241718225e-06,4.61044646159005e-07
1985,4.384690788989637e-06,2.694305847634431e-06,2.896757192973252e-06,2.1801696251496795e-07,1.7032129337378268e-06,4.544976525450955e-07
1986,4.25212166987876e-06,2.5051694620970007e-06,2.779972948222361e-06,2.1312055931144158e-07,1.7195819219344749e-06,4.519976566839747e-07
1987,4.033463964349591e-06,2.26454656626629e-06,2.720940623289282e-06,2.1009300177343704e-07,1.742140043908031e-06,4.4839903677397685e-07
1988,3.923644760967753e-06,2.113944020720737e-06,2.511731552650482e-06,2.0564299721811554e-07,1.7726270102562985e-06,4.420990472121998e-07
1989,3.772148171979747e-06,1.9595976792987e-06,2.4110997784987376e-06,2.0196614430074383e-07,1.8103606481848343e-06,4.5121880682635105e-07
1990,3.5728873066480963e-06,1.6923444268814236e-06,2.1632956769427177e-06,1.9759388025786254e-07,1.8039916618306506e-06,4.465512310401566e-07
1991,3.5100349882506114e-06,1.5437353688696476e-06,2.036620460086981e-06,1.9396923573682707e-07,1.7739856649054024e-06,4.281190413291114e-07
1992,3.374527478529542e-06,1.4620037670657178e-06,1.976588796383437e-06,1.933011902924672e-07,1.8363788701744203e-06,4.3482051108918137e-07
1993,3.0861750630606366e-06,1.3807934858992406e-06,1.8543026187549977e-06,1.9288520227066031e-07,1.8610036386844188e-06,4.3526672450460477e-07
1994,2.9010522959132298e-06,1.2740704303634437e-06,1.670147119016617e-06,1.8995486916750792e-07,1.879215461083764e-06,4.463788174646766e-07
1995,2.7294616131712246e-06,1.165262229818609e-06,1.5673767137514005e-06,1.9093819511198766e-07,1.8734861655695615e-06,4.612957534685539e-07
1996,2.586487544777226e-06,1.0453656469979118e-06,1.4143708051100082e-06,1.876862720795458e-07,1.8178174368951465e-06,4.6518548594117905e-07
1997,2.5015376716096076e-06,9.59480746536607e-07,1.3125096633664107e-06,1.8800039973993726e-07,1.8554874155236284e-06,4.812809174367263e-07
1998,2.3506102902867302e-06,8.432739695101482e-07,1.2114222232335285e-06,1.8471905330727116e-07,1.88102632898384e-06,5.060344302952403e-07
1999,2.3358262072495757e-06,7.262239860900925e-07,1.0626273452274406e-06,1.86530756586732e-07,1.8535277835748535e-06,5.165638584182984e-07
2000,2.2317117038182588e-06,6.455989935031223e-07,9.753866251825473e-07,1.9549066210267085e-07,1.8308370781332835e-06,5.278460793218491e-07
2001,2.1446160712709376e-06,6.14657671617534e-07,9.290862640501781e-07,2.1015327506772916e-07,1.813620007062866e-06,5.345522395204328e-07
2002,2.07700049971647e-06,5.901551499551009e-07,8.627471794753205e-07,2.1850921583244087e-07,1.8530232642279186e-06,5.58490599481384e-07
2003,2.0303487972788455e-06,5.737998956613564e-07,8.034094765336469e-07,2.3233807808617106e-07,1.9384674752994812e-06,5.759482396085401e-07
2004,1.9855568617848415e-06,5.625505930925304e-07,7.604644160100602e-07,2.489427657189783e-07,1.9233112609841537e-06,6.017844952513737e-07
2005,1.8972664389390762e-06,5.564995337563922e-07,6.859975614860657e-07,2.6303289300612575e-07,1.9077254431414706e-06,5.969193904244362e-07
2006,1.7351348568744081e-06,5.425805363097018e-07,6.293044651733177e-07,2.7692790034926163e-07,1.8872905192931659e-06,6.118373132262583e-07
2007,1.7241263540666651e-06,5.326396254850302e-07,5.711328556122299e-07,2.8029389664047907e-07,1.896947691624819e-06,6.163740546215126e-07
2008,1.670759456372041e-06,5.204760526376718e-07,5.244888157435972e-07,2.7955105797688215e-07,1.9354479215495857e-06,6.29038338972876e-07
2009,1.5988447345754205e-06,5.147863157021045e-07,5.230023585005888e-07,2.7988310201200655e-07,2.0640744032058526e-06,6.326252039683717e-07
2010,1.5263823784599545e-06,5.023580470656494e-07,5.109172537741204e-07,2.747026898334123e-07,2.111877374691825e-06,6.510053993658005e-07
2011,1.399892788356283e-06,4.796999334580728e-07,4.6225988919219265e-07,2.685978409768173e-07,2.078115991542364e-06,6.375631661345186e-07
2012,1.3122581621973138e-06,4.631896030219248e-07,4.31762291855772e-07,2.653305527590609e-07,2.032089767377089e-06,6.322200273459596e-07
2013,1.247977882050983e-06,4.522856172124128e-07,4.100133383604693e-07,2.569226113524614e-07,2.0327841570022542e-06,6.148167629925284e-07
2014,1.1849174664949454e-06,4.419050336133625e-07,3.819322523960064e-07,2.521811889866221e-07,2.0235389311475316e-06,6.0499796823115e-07
2015,1.1476554972387831e-06,4.2992898682417795e-07,3.593050268424492e-07,2.453494677026999e-07,2.030242017995018e-06,5.908855086175382e-07
2016,1.1041056164578272e-06,4.1816867099190145e-07,3.041369297042605e-07,2.424914938054761e-07,1.8980238877728898e-06,5.639850424137599e-07
2017,1.0734429574850897e-06,4.070212976288919e-07,2.6247111643377486e-07,2.4159217011191875e-07,1.7930444179784881e-06,5.366189905024281e-07
2018,1.0798581071114198e-06,4.050495074459093e-07,2.6201728866581673e-07,2.376169221940394e-07,1.8167107509015066e-06,5.228857859584935e-07
2019,1.0544373723053724e-06,4.10721766819222e-07,2.6490799565070944e-07,2.3061519434375288e-07,1.886867151079663e-06,5.213416314764352e-07
